subject_id,enrolled_date,sex_status,spay_neuter_date,study_status,birth_date,withdrawn_date,inactive_date,death_date,is_euthanized,coat_color
grls1IO60U55,2013-09,Spayed Female,2019-06,Enrolled,2011-05,,,,0.0,medium golden
grlsDOVQ9OJJ,2013-09,Spayed Female,2013-05,Enrolled,2012-11,,,,0.0,medium golden
grlsYSOOJWSS,2013-09,Intact Female,,Inactive,2013-03,,2014-10,,0.0,red
grlsFPN14Q00,2013-09,Neutered Male,2013-05,Enrolled Deceased,2011-11,,,2017-07,0.0,light golden
grlsYIUM47SS,2013-10,Spayed Female,2013-08,Enrolled Deceased,2013-01,,,2022-03,1.0,light golden
grlsAG8H4W88,2013-09,Spayed Female,2012-04,Enrolled Deceased,2011-10,,,2024-02,1.0,medium golden
grls47042K22,2013-10,Neutered Male,2013-12,Enrolled Deceased,2013-03,,,2021-08,1.0,light golden
grls2BBFC88,2013-09,Spayed Female,2014-06,Enrolled Deceased,2011-05,,,2023-10,0.0,medium golden
grlsTFDXIW55,2013-09,Spayed Female,2013-07,Enrolled Deceased,2013-02,,,2021-08,1.0,light golden
grlsGJUFN7II,2013-10,Neutered Male,2012-09,Enrolled Deceased,2012-03,,,2022-11,1.0,dark golden
grls4ZRBRLGG,2013-10,Spayed Female,2018-10,Enrolled,2011-07,,,,0.0,dark golden
grlsF1VUG222,2013-10,Spayed Female,2021-03,Enrolled Deceased,2011-08,,,2023-07,1.0,light golden
grlsTWDNOIWW,2013-10,Spayed Female,2011-11,Enrolled Deceased,2011-06,,,2023-08,0.0,light golden
grlsPQM65O88,2013-10,Spayed Female,2016-07,Enrolled,2013-03,,,,0.0,medium golden
grlsCZC5H66,2013-09,Intact Female,,Enrolled,2013-02,,,,0.0,blonde
grls3O8XTR88,2013-10,Neutered Male,2024-05,Enrolled Deceased,2012-05,,,2024-10,1.0,medium golden
grlsFU3W5C33,2013-10,Spayed Female,2019-03,Enrolled,2013-02,,,,0.0,dark golden
grlsT7FPML44,2013-10,Intact Male,,Inactive,2012-11,,2016-05,,0.0,dark golden
grlsNEYPD6,2013-10,Spayed Female,2013-04,Enrolled Deceased,2012-10,,,2024-01,1.0,blonde
grls49XJC355,2013-10,Intact Male,,Enrolled Deceased,2013-03,,,2023-06,1.0,light golden
grlsHTX9MBB,2013-10,Intact Male,,Inactive,2012-08,,2024-08,,0.0,blonde
grlsZI7MU2EE,2013-10,Neutered Male,2022-05,Enrolled,2012-08,,,,0.0,medium golden
grlsRBYRVGMM,2013-10,Spayed Female,2013-05,Enrolled Deceased,2012-09,,,2024-05,1.0,blonde
grlsG1R4BEII,2013-10,Neutered Male,2013-01,Enrolled Deceased,2012-06,,,2022-11,0.0,medium golden
grlsSVGN32WW,2013-10,Spayed Female,2012-04,Enrolled,2011-12,,,,0.0,blonde
grlsHINJVV22,2013-10,Spayed Female,2013-04,Enrolled,2012-05,,,,0.0,light golden
grls3U5V4NBB,2013-10,Spayed Female,2012-05,Enrolled,2011-11,,,,0.0,dark golden
grls6QK7O55,2013-10,Neutered Male,2013-10,Enrolled Deceased,2013-01,,,2023-08,1.0,light golden
grlsG12H8UBB,2013-10,Intact Male,,Enrolled,2012-07,,,,0.0,medium golden
grlsVK0CH77,2013-10,Spayed Female,2014-03,Enrolled,2013-03,,,,0.0,blonde
grlsQIDG6VLL,2013-10,Spayed Female,2013-06,Inactive,2012-12,,2017-10,,0.0,light golden
grlsEQIOW0DD,2013-10,Neutered Male,2012-12,Enrolled,2012-06,,,,0.0,medium golden
grlsF8OY8Z77,2013-10,Intact Male,,Inactive,2012-01,,2020-11,,0.0,light golden
grlsQGX4QLVV,2013-10,Spayed Female,2011-06,Enrolled Deceased,2011-03,,,2024-08,1.0,blonde
grlsCJGEXUXX,2013-10,Neutered Male,2012-11,Enrolled Deceased,2012-05,,,2024-12,1.0,light golden
grls3NEEO88,2013-10,Neutered Male,2013-01,Enrolled Deceased,2011-12,,,2024-02,1.0,light golden
grls7L9I19SS,2013-10,Neutered Male,2012-11,Enrolled,2012-05,,,,0.0,medium golden
grlsS7FSWYRR,2013-10,Neutered Male,2012-12,Enrolled Deceased,2011-11,,,2024-12,1.0,medium golden
grlsW88VMM,2013-10,Spayed Female,2013-02,Inactive,2012-03,,2020-10,,0.0,dark golden
grlsCHA3ZO11,2013-10,Spayed Female,2015-03,Enrolled Deceased,2012-05,,,2022-10,0.0,light golden
grls05BPCYNN,2013-10,Spayed Female,2016-07,Enrolled,2012-01,,,,0.0,medium golden
grlsF9GY3088,2013-10,Spayed Female,2012-12,Enrolled,2012-04,,,,0.0,dark golden
grls1NG4CBXX,2013-10,Spayed Female,2013-10,Enrolled,2013-01,,,,0.0,dark golden
grls1NBZCRQQ,2013-10,Spayed Female,2013-06,Enrolled,2013-01,,,,0.0,light golden
grlsJ30U1WBB,2013-10,Neutered Male,2014-01,Enrolled,2013-02,,,,0.0,blonde
grlsCA7P8U44,2013-10,Spayed Female,2013-07,Enrolled Deceased,2013-03,,,2022-02,1.0,light golden
grlsD8PYS8NN,2013-10,Neutered Male,2012-07,Enrolled,2012-02,,,,0.0,dark golden
grlsI72KCXWW,2013-10,Intact Female,,Enrolled Deceased,2012-10,,,2022-03,1.0,dark golden
grls9UBFUUCC,2013-10,Neutered Male,2020-01,Enrolled,2011-10,,,,0.0,light golden
grls0MWS6OMM,2013-10,Spayed Female,2013-08,Enrolled Deceased,2013-02,,,2022-04,1.0,dark golden
grls8B5W02XX,2013-10,Spayed Female,2012-10,Withdrawn,2012-04,2024-10,,,0.0,light golden
grlsHAFZQZSS,2013-10,Neutered Male,2013-05,Enrolled Deceased,2013-02,,,2024-04,1.0,blonde
grls4ECUQR11,2013-10,Neutered Male,2012-09,Enrolled Deceased,2011-11,,,2019-02,0.0,medium golden
grlsDWY71G00,2013-10,Neutered Male,2014-03,Enrolled,2012-07,,,,0.0,light golden
grlsOH931S00,2013-11,Neutered Male,2012-06,Enrolled Deceased,2011-11,,,2020-01,0.0,light golden
grlsXO96NGG,2013-11,Spayed Female,2014-12,Enrolled Deceased,2012-09,,,2022-05,1.0,light golden
grlsRJ637MKK,2013-10,Spayed Female,2013-05,Enrolled Deceased,2012-12,,,2021-10,0.0,light golden
grlsCRI31Y66,2013-10,Neutered Male,2013-06,Enrolled Deceased,2011-10,,,2021-11,1.0,light golden
grlsMKO0FR44,2013-10,Neutered Male,2013-04,Enrolled Deceased,2012-04,,,2019-11,1.0,light golden
grlsPWQFUS00,2014-10,Neutered Male,2013-11,Enrolled Deceased,2012-10,,,2020-04,1.0,light golden
grlsSPOW0977,2013-10,Spayed Female,2013-07,Enrolled,2012-06,,,,0.0,medium golden
grls605WYO22,2013-10,Spayed Female,2017-07,Enrolled Deceased,2013-02,,,2022-07,0.0,medium golden
grlsTYR5PO55,2013-10,Neutered Male,2012-07,Enrolled Deceased,2012-01,,,2022-01,1.0,blonde
grlsG5IC1QXX,2013-11,Spayed Female,2017-02,Enrolled Deceased,2011-05,,,2023-06,1.0,light golden
grls1LSGW1BB,2013-11,Intact Female,,Withdrawn,2012-03,2017-01,,,0.0,dark golden
grlsSOJUWZOO,2013-11,Intact Male,,Enrolled Deceased,2012-10,,,2019-06,1.0,light golden
grls365KZSUU,2013-11,Neutered Male,2012-06,Enrolled Deceased,2011-10,,,2022-01,1.0,light golden
grlsXBU9GTT,2013-11,Spayed Female,2014-01,Enrolled Deceased,2012-06,,,2020-10,1.0,light golden
grls01LNL888,2013-10,Spayed Female,2019-03,Enrolled,2012-08,,,,0.0,light golden
grlsS1WQW233,2013-11,Neutered Male,2013-03,Enrolled Deceased,2012-02,,,2021-10,1.0,blonde
grlsEYHWGXFF,2013-10,Spayed Female,2017-09,Enrolled Deceased,2011-10,,,2023-08,1.0,light golden
grls4DYV0WW,2013-11,Spayed Female,2013-04,Enrolled Deceased,2012-10,,,2023-10,1.0,medium golden
grlsI8TC3SCC,2013-11,Neutered Male,2016-06,Enrolled Deceased,2011-11,,,2021-12,1.0,blonde
grlsPSGX9B77,2013-11,Neutered Male,2013-05,Enrolled Deceased,2012-05,,,2020-11,1.0,light golden
grlsHOGPQIDD,2013-11,Neutered Male,2013-03,Enrolled Deceased,2012-05,,,2022-09,0.0,light golden
grlsRSZJDOMM,2013-11,Intact Female,,Enrolled,2012-09,,,,0.0,red
grlsOAMNHF88,2013-11,Intact Male,,Inactive,2013-04,,2015-10,,0.0,medium golden
grlsDEDRORVV,2013-11,Neutered Male,2014-04,Enrolled Deceased,2013-03,,,2023-03,1.0,blonde
grls4Q3HPJJJ,2013-11,Neutered Male,2014-09,Enrolled Deceased,2013-03,,,2023-03,0.0,light golden
grlsT7R88NPP,2013-11,Neutered Male,2020-07,Enrolled Deceased,2013-04,,,2023-12,0.0,medium golden
grlsP8YVW3FF,2013-11,Neutered Male,2012-05,Enrolled,2011-11,,,,0.0,medium golden
grlsHKJALE11,2013-11,Neutered Male,2013-07,Inactive,2013-01,,2018-07,,0.0,light golden
grlsC7JB7P22,2013-11,Spayed Female,2012-07,Enrolled Deceased,2012-01,,,2021-08,1.0,dark golden
grls7VM38I99,2013-11,Neutered Male,2013-09,Inactive,2012-07,,2015-10,,0.0,blonde
grls9Q4LJOWW,2013-11,Spayed Female,2012-07,Enrolled,2011-12,,,,0.0,medium golden
grlsEKM79DXX,2013-11,Neutered Male,2013-02,Enrolled Deceased,2012-02,,,2020-06,1.0,light golden
grlsDF3E7BTT,2013-11,Neutered Male,2012-09,Enrolled Deceased,2012-03,,,2024-03,1.0,light golden
grlsOTPUSXVV,2013-10,Neutered Male,2013-02,Enrolled Deceased,2012-01,,,2023-06,1.0,medium golden
grls65ASR7UU,2013-11,Neutered Male,2013-04,Enrolled,2012-05,,,,0.0,red
grlsKLOJK533,2013-11,Spayed Female,2018-07,Enrolled,2012-11,,,,0.0,medium golden
grls12ZDDU,2013-11,Neutered Male,2012-09,Enrolled Deceased,2011-09,,,2017-02,0.0,light golden
grls7X6XT588,2013-11,Neutered Male,2012-12,Inactive,2011-12,,2019-12,,0.0,light golden
grlsDUX7BEHH,2013-11,Spayed Female,2013-05,Enrolled Deceased,2012-11,,,2024-02,1.0,medium golden
grlsWWV4VKLL,2013-11,Spayed Female,2019-07,Enrolled Deceased,2013-04,,,2024-09,1.0,medium golden
grlsDNZUWFEE,2013-11,Spayed Female,2013-05,Enrolled Deceased,2012-10,,,2024-11,1.0,medium golden
grlsUKK54W22,2013-11,Spayed Female,2013-05,Enrolled Deceased,2012-11,,,2023-06,0.0,blonde
grlsZJOFZENN,2013-11,Neutered Male,2013-03,Enrolled Deceased,2012-07,,,2024-08,1.0,blonde
grlsZA4J55FF,2013-11,Neutered Male,2013-12,Enrolled Deceased,2012-11,,,2022-02,0.0,light golden
grlsE4JQL822,2013-11,Spayed Female,2020-06,Enrolled Deceased,2011-12,,,2024-11,1.0,red
grlsJ14DLTFF,2013-11,Neutered Male,2014-03,Inactive,2013-01,,2016-11,,0.0,medium golden
grlsNDJYYR,2013-11,Neutered Male,2012-07,Enrolled,2011-10,,,,0.0,blonde
grlsXB4UPRHH,2013-11,Neutered Male,2013-04,Enrolled,2012-10,,,,0.0,medium golden
grlsX47LTALL,2013-11,Spayed Female,2012-05,Enrolled Deceased,2011-11,,,2023-01,1.0,light golden
grlsO3NBGJ44,2013-11,Neutered Male,2012-05,Enrolled Deceased,2011-11,,,2021-04,1.0,medium golden
grls6X6HLXMM,2013-11,Spayed Female,2018-08,Enrolled,2013-03,,,,0.0,medium golden
grlsYCK8D500,2013-11,Neutered Male,2012-06,Enrolled Deceased,2011-09,,,2020-05,1.0,blonde
grls03L3L1FF,2013-11,Spayed Female,2014-07,Inactive,2013-04,,2014-12,,0.0,blonde
grlsOJ8KLP22,2013-11,Spayed Female,2016-05,Withdrawn,2013-03,2020-10,,,0.0,medium golden
grlsIECF3CC,2013-11,Neutered Male,2015-12,Inactive,2012-12,,2024-10,,0.0,light golden
grlsFKWD1FKK,2013-11,Intact Female,,Withdrawn,2012-12,2024-10,,,0.0,medium golden
grlsY8H6EQFF,2013-11,Intact Female,,Enrolled Deceased,2011-12,,,2023-09,0.0,light golden
grlsBR1ULWSS,2013-11,Intact Male,,Enrolled Deceased,2012-12,,,2022-09,1.0,light golden
grls3ZQTDJ11,2013-11,Intact Male,,Enrolled Deceased,2013-02,,,2024-05,0.0,medium golden
grls5FYRTNEE,2013-11,Spayed Female,2012-05,Enrolled Deceased,2011-11,,,2023-01,1.0,medium golden
grls6QB9S2RR,2013-11,Neutered Male,2012-08,Inactive,2012-04,,2024-11,,0.0,medium golden
grlsDZ8RNWMM,2013-12,Neutered Male,2018-12,Enrolled,2013-05,,,,0.0,red
grlsF9CWK9VV,2013-11,Spayed Female,2013-11,Enrolled,2012-12,,,,0.0,light golden
grlsCOEDU1TT,2013-12,Intact Female,,Withdrawn,2011-07,2024-09,,,0.0,blonde
grls39MGA8BB,2013-11,Neutered Male,2014-01,Enrolled Deceased,2013-05,,,2024-02,1.0,medium golden
grlsB84PLBRR,2013-12,Neutered Male,2014-06,Enrolled,2013-04,,,,0.0,light golden
grls2QGMRPRR,2013-12,Intact Male,,Enrolled Deceased,2013-03,,,2019-03,1.0,light golden
grls3PH06YZZ,2013-12,Intact Male,,Enrolled Deceased,2013-04,,,2015-08,0.0,medium golden
grls76SMG511,2013-12,Neutered Male,2014-06,Enrolled,2012-12,,,,0.0,light golden
grlsMT3GPYY,2013-12,Spayed Female,2013-08,Enrolled Deceased,2012-07,,,2023-06,1.0,light golden
grls0R37Y2WW,2013-11,Intact Male,,Enrolled Deceased,2013-04,,,2022-05,1.0,light golden
grls6JBFIH66,2013-12,Spayed Female,2013-11,Enrolled Deceased,2013-05,,,2023-06,1.0,blonde
grlsX1PJY0WW,2013-12,Neutered Male,2014-10,Enrolled Deceased,2013-04,,,2020-08,1.0,medium golden
grlsIDD1SPBB,2013-11,Neutered Male,2014-02,Enrolled Deceased,2013-04,,,2023-07,0.0,medium golden
grlsPGOLQCVV,2013-11,Neutered Male,2014-07,Enrolled Deceased,2013-03,,,2022-01,1.0,medium golden
grlsYOCNZTII,2013-12,Spayed Female,2013-02,Enrolled,2012-05,,,,0.0,light golden
grlsBVQHCYPP,2013-12,Spayed Female,2013-11,Withdrawn,2013-02,2018-11,,,0.0,blonde
grlsQEZO2RMM,2013-12,Spayed Female,2019-03,Enrolled,2012-08,,,,0.0,dark golden
grlsNFPSIPP,2013-11,Neutered Male,2013-12,Enrolled Deceased,2012-06,,,2023-10,1.0,light golden
grlsLAIDPN99,2013-12,Spayed Female,2013-02,Enrolled,2012-07,,,,0.0,light golden
grlsV3T34T66,2013-12,Spayed Female,2013-06,Enrolled,2012-09,,,,0.0,medium golden
grlsL1SWIE55,2013-12,Intact Female,,Inactive,2012-11,,2024-07,,0.0,dark golden
grlsW7OHI3HH,2013-12,Neutered Male,2013-05,Enrolled Deceased,2012-09,,,2022-07,1.0,dark golden
grlsZ98DSXLL,2013-11,Spayed Female,2013-08,Withdrawn,2013-05,2020-11,,,0.0,blonde
grls1CJ7JS99,2013-11,Spayed Female,2015-12,Withdrawn,2013-04,2018-10,,,0.0,light golden
grlsK7SQKOAA,2013-12,Spayed Female,2014-07,Enrolled,2013-04,,,,0.0,light golden
grls3KMKIQ11,2013-12,Spayed Female,2013-07,Enrolled Deceased,2012-11,,,2022-09,0.0,blonde
grlsE4U1WZHH,2013-12,Neutered Male,2019-10,Enrolled,2013-05,,,,0.0,light golden
grlsBBVY9633,2013-11,Neutered Male,2014-02,Enrolled Deceased,2013-03,,,2024-05,1.0,light golden
grlsCO0LHTKK,2013-11,Neutered Male,2012-04,Enrolled Deceased,2011-12,,,2022-02,1.0,medium golden
grlsEOQD1JJ,2013-12,Intact Female,,Enrolled,2011-11,,,,0.0,light golden
grlsPY4G7NBB,2013-12,Spayed Female,2013-09,Enrolled Deceased,2013-02,,,2016-01,0.0,blonde
grlsD67R1LRR,2013-12,Neutered Male,2015-03,Enrolled Deceased,2011-10,,,2020-10,1.0,light golden
grlsST4GOFF,2013-12,Intact Female,,Enrolled,2013-03,,,,0.0,red
grlsJIJ61F44,2013-12,Neutered Male,2013-12,Enrolled Deceased,2012-02,,,2024-08,1.0,medium golden
grlsLKJCPSS,2013-12,Spayed Female,2012-07,Enrolled Deceased,2011-12,,,2022-08,1.0,light golden
grls54PZRMMM,2013-12,Neutered Male,2012-05,Enrolled Deceased,2011-12,,,2015-11,0.0,light golden
grlsUBRO4QZZ,2013-12,Spayed Female,2013-12,Enrolled,2013-06,,,,0.0,medium golden
grls2IKW1P88,2013-12,Spayed Female,2013-02,Enrolled,2012-08,,,,0.0,blonde
grlsXPMOLOFF,2013-12,Spayed Female,2012-05,Withdrawn,2011-12,2016-11,,,0.0,light golden
grls734CP6GG,2013-12,Spayed Female,2012-05,Enrolled Deceased,2011-11,,,2022-01,1.0,light golden
grls3HCLZLYY,2013-12,Neutered Male,2021-08,Enrolled,2013-03,,,,0.0,red
grls0OGJIE22,2013-12,Spayed Female,2012-07,Enrolled,2011-12,,,,0.0,blonde
grlsXA0BK733,2013-12,Spayed Female,2014-02,Enrolled,2013-05,,,,0.0,blonde
grlsZY5KYKXX,2013-12,Spayed Female,2012-12,Enrolled Deceased,2012-06,,,2019-08,0.0,dark golden
grlsJE0A7BJJ,2013-12,Spayed Female,2013-11,Enrolled,2013-05,,,,0.0,light golden
grlsBDJDLSYY,2013-12,Neutered Male,2013-09,Enrolled Deceased,2013-03,,,2022-11,1.0,light golden
grlsM14NP0PP,2013-12,Spayed Female,2012-05,Enrolled Deceased,2011-11,,,2025-01,0.0,light golden
grls4RZO5BZZ,2013-12,Spayed Female,2014-02,Enrolled Deceased,2013-01,,,2024-08,1.0,medium golden
grlsF7XPY7CC,2013-12,Spayed Female,2013-12,Enrolled,2012-08,,,,0.0,light golden
grlsEA806TCC,2013-12,Spayed Female,2013-08,Enrolled Deceased,2013-04,,,2022-10,0.0,dark golden
grlsT5LCA7BB,2013-12,Neutered Male,2013-08,Enrolled,2013-04,,,,0.0,dark golden
grlsDUFB6REE,2013-12,Spayed Female,2019-08,Enrolled,2013-05,,,,0.0,light golden
grlsN8M0UZOO,2013-12,Spayed Female,2015-06,Enrolled Deceased,2012-05,,,2023-02,1.0,medium golden
grls109PNIYY,2013-12,Neutered Male,2013-11,Enrolled,2013-05,,,,0.0,dark golden
grlsOXU5V3OO,2013-12,Spayed Female,2012-12,Enrolled Deceased,2012-06,,,2021-01,0.0,light golden
grlsK1SQLTTT,2013-12,Neutered Male,2013-07,Enrolled Deceased,2012-11,,,2021-11,0.0,blonde
grls4ZRDNK66,2013-12,Neutered Male,2014-01,Enrolled,2013-04,,,,0.0,light golden
grls44G5RDKK,2013-12,Intact Male,,Enrolled Deceased,2013-05,,,2018-10,0.0,medium golden
grlsRUIBT955,2013-12,Spayed Female,2012-12,Enrolled,2012-07,,,,0.0,dark golden
grlsZIYIUUEE,2013-12,Intact Male,,Withdrawn,2011-11,2024-12,,,0.0,light golden
grls4682PDD,2013-12,Intact Male,,Enrolled Deceased,2013-03,,,2014-12,1.0,blonde
grls0NOGYCWW,2013-12,Neutered Male,2017-10,Enrolled,2013-05,,,,0.0,blonde
grlsUUGORFZZ,2014-01,Intact Male,,Enrolled Deceased,2012-05,,,2019-06,0.0,blonde
grlsZ1000A99,2014-01,Neutered Male,2012-11,Enrolled,2011-11,,,,0.0,light golden
grlsQS90QGZZ,2014-01,Spayed Female,2012-04,Enrolled Deceased,2011-10,,,2021-11,0.0,dark golden
grls6UQ50SRR,2014-01,Intact Male,,Enrolled Deceased,2012-06,,,2023-11,1.0,blonde
grlsIP856OHH,2014-01,Neutered Male,2022-04,Enrolled Deceased,2013-03,,,2023-01,0.0,red
grlsB6SJJMNN,2013-12,Spayed Female,2014-11,Enrolled,2012-06,,,,0.0,medium golden
grlsSYFLK1II,2014-01,Spayed Female,2014-02,Enrolled Deceased,2013-02,,,2021-03,0.0,light golden
grls32DCESEE,2014-01,Intact Female,,Enrolled Deceased,2013-05,,,2018-07,0.0,light golden
grlsLGPFD7MM,2014-01,Intact Male,,Inactive,2012-02,,2018-05,,0.0,red
grlsI831ES77,2014-01,Intact Male,,Enrolled Deceased,2013-02,,,2024-02,1.0,light golden
grls5RGYBXYY,2014-01,Spayed Female,2013-10,Enrolled,2013-03,,,,0.0,red
grlsZEZIUU99,2014-01,Spayed Female,2013-03,Enrolled Deceased,2012-09,,,2022-08,1.0,light golden
grlsGT7CS9YY,2014-01,Neutered Male,2013-12,Enrolled,2012-12,,,,0.0,medium golden
grls5685Q77,2014-01,Neutered Male,2013-05,Enrolled Deceased,2012-12,,,2024-05,1.0,blonde
grlsQMD74QDD,2014-01,Spayed Female,2017-02,Enrolled Deceased,2011-11,,,2024-08,1.0,medium golden
grlsFZ89N7KK,2014-01,Spayed Female,2017-04,Enrolled Deceased,2012-03,,,2025-01,1.0,medium golden
grlsW1UHMNJJ,2014-01,Intact Male,,Enrolled Deceased,2012-04,,,2021-08,1.0,red
grlsD5I0WNVV,2014-01,Intact Female,,Inactive,2011-10,,2017-01,,0.0,light golden
grlsE5JM844,2014-01,Neutered Male,2012-12,Enrolled,2011-11,,,,0.0,light golden
grlsCYRLPGCC,2014-01,Spayed Female,2014-09,Inactive,2013-02,,2015-12,,0.0,light golden
grlsPN3XJF88,2014-01,Neutered Male,2013-04,Inactive,2012-10,,2018-01,,0.0,medium golden
grls7W3BTUSS,2014-01,Spayed Female,2013-04,Enrolled Deceased,2012-11,,,2021-07,0.0,light golden
grlsQQNDWNXX,2014-01,Neutered Male,2013-04,Enrolled Deceased,2012-11,,,2024-03,1.0,light golden
grlsDW39Z1,2014-01,Spayed Female,2012-05,Enrolled Deceased,2011-11,,,2022-03,0.0,blonde
grls7SGHM4RR,2014-01,Neutered Male,2012-03,Enrolled Deceased,2011-09,,,2024-12,1.0,dark golden
grlsMGE5UI55,2014-01,Spayed Female,2012-07,Enrolled Deceased,2012-01,,,2022-01,1.0,light golden
grlsJFENDW44,2014-01,Spayed Female,2013-03,Enrolled Deceased,2012-10,,,2021-02,0.0,medium golden
grlsBKKNA44,2014-01,Neutered Male,2013-08,Enrolled,2013-06,,,,0.0,medium golden
grlsIIDCBQ00,2014-01,Neutered Male,2013-08,Enrolled,2013-06,,,,0.0,medium golden
grlsUQOF1KQQ,2014-01,Neutered Male,2014-05,Enrolled Deceased,2013-05,,,2024-10,1.0,light golden
grlsBLN9PL88,2014-01,Neutered Male,2014-05,Enrolled Deceased,2013-02,,,2024-01,0.0,light golden
grlsS1TBQJTT,2014-01,Neutered Male,2014-03,Enrolled Deceased,2013-05,,,2024-06,1.0,medium golden
grlsT1SJRZOO,2014-01,Neutered Male,2013-03,Enrolled Deceased,2012-07,,,2023-06,1.0,blonde
grlsZ7OXSYCC,2014-01,Neutered Male,2019-08,Enrolled Deceased,2013-05,,,2024-10,1.0,medium golden
grls6340WFZZ,2014-01,Spayed Female,2012-07,Enrolled Deceased,2012-01,,,2023-08,1.0,light golden
grlsHR6YHDHH,2014-01,Neutered Male,2013-10,Inactive,2012-09,,2025-01,,0.0,medium golden
grls1F7MX4EE,2014-01,Neutered Male,2013-11,Enrolled Deceased,2012-10,,,2023-04,1.0,light golden
grlsL3ZMQ9HH,2014-01,Spayed Female,2013-12,Enrolled,2012-06,,,,0.0,light golden
grlsRTKBF366,2014-01,Neutered Male,2013-05,Enrolled Deceased,2012-11,,,2024-03,1.0,blonde
grlsN4PGDWWW,2014-01,Spayed Female,2014-05,Inactive,2013-03,,2022-01,,0.0,medium golden
grlsM77ODPWW,2014-01,Neutered Male,2014-03,Enrolled Deceased,2012-05,,,2023-03,1.0,dark golden
grlsWXSJR1NN,2014-01,Neutered Male,2013-11,Enrolled Deceased,2012-10,,,2022-08,1.0,medium golden
grls690HOFVV,2014-01,Neutered Male,2013-10,Inactive,2013-04,,2017-02,,0.0,dark golden
grlsS88B2QWW,2014-01,Neutered Male,2013-06,Inactive,2012-07,,2021-03,,0.0,blonde
grlsD39GLKHH,2014-01,Spayed Female,2013-02,Enrolled Deceased,2011-11,,,2022-09,1.0,light golden
grls4WDUC3II,2014-01,Spayed Female,2013-12,Inactive,2013-04,,2015-12,,0.0,dark golden
grls1J6B2II,2014-01,Spayed Female,2013-02,Enrolled Deceased,2012-09,,,2023-03,1.0,blonde
grls9NWXF322,2014-01,Spayed Female,2012-07,Enrolled Deceased,2012-02,,,2022-08,1.0,light golden
grlsRU253SZZ,2014-01,Spayed Female,2014-01,Enrolled Deceased,2013-05,,,2024-09,1.0,medium golden
grlsB6HBDWW,2014-01,Neutered Male,2014-02,Enrolled Deceased,2012-09,,,2023-01,1.0,light golden
grlsVEEV7PYY,2013-11,Intact Male,,Withdrawn,2013-05,2014-12,,,0.0,light golden
grlsDM8Z0THH,2014-01,Spayed Female,2013-04,Enrolled Deceased,2012-09,,,2023-08,1.0,light golden
grlsLT1SZEDD,2014-01,Spayed Female,2012-08,Enrolled,2012-01,,,,0.0,light golden
grlsJ2G2QC33,2014-01,Intact Male,,Enrolled Deceased,2013-05,,,2019-02,0.0,light golden
grls8HJGF3NN,2014-01,Neutered Male,2012-07,Enrolled Deceased,2012-01,,,2021-08,0.0,light golden
grlsEWO92YII,2014-01,Spayed Female,2013-01,Enrolled Deceased,2011-12,,,2023-07,1.0,light golden
grlsPFS0H300,2014-01,Neutered Male,2017-11,Enrolled Deceased,2011-11,,,2022-07,1.0,light golden
grls4XT6VO22,2014-01,Spayed Female,2014-06,Enrolled Deceased,2013-06,,,2022-05,1.0,medium golden
grlsXJUDPE99,2014-01,Spayed Female,2013-09,Enrolled,2013-04,,,,0.0,dark golden
grls9EC9UJ88,2013-12,Neutered Male,2012-08,Inactive,2012-02,,2015-03,,0.0,blonde
grls3RTA1QFF,2014-01,Neutered Male,2015-03,Enrolled,2013-06,,,,0.0,light golden
grls39GQY988,2014-01,Neutered Male,2013-12,Enrolled,2012-10,,,,0.0,light golden
grlsUWNZ8Q66,2014-01,Neutered Male,2013-04,Enrolled Deceased,2012-01,,,2024-12,1.0,blonde
grls00NB23WW,2014-01,Spayed Female,2012-07,Enrolled Deceased,2012-01,,,2017-09,0.0,dark golden
grlsGH5T4A55,2014-01,Spayed Female,2014-06,Enrolled,2013-06,,,,0.0,blonde
grls18SJ0XMM,2014-01,Intact Male,,Inactive,2013-02,,2019-03,,0.0,light golden
grlsT6UHNIAA,2014-01,Spayed Female,2012-06,Inactive,2012-01,,2015-03,,0.0,blonde
grls7EDP799,2014-01,Intact Male,,Inactive,2012-11,,2019-01,,0.0,medium golden
grlsDTRSLSFF,2014-01,Neutered Male,2012-09,Inactive,2012-04,,2025-01,,0.0,medium golden
grlsT0IMF822,2014-01,Spayed Female,2013-12,Enrolled Deceased,2013-06,,,2023-05,1.0,light golden
grls39PTM4TT,2014-01,Neutered Male,2013-06,Enrolled Deceased,2012-11,,,2024-01,1.0,blonde
grlsD62ORCYY,2014-01,Spayed Female,2013-07,Enrolled,2012-09,,,,0.0,medium golden
grlsKN18HQ44,2014-01,Spayed Female,2013-10,Enrolled Deceased,2013-04,,,2024-12,1.0,medium golden
grls0SITE9YY,2014-01,Neutered Male,2013-08,Enrolled Deceased,2012-10,,,2023-05,1.0,light golden
grlsFW324JTT,2014-02,Spayed Female,2015-12,Enrolled Deceased,2012-05,,,2020-03,0.0,medium golden
grlsBJTD3O55,2014-02,Neutered Male,2012-06,Enrolled Deceased,2012-02,,,2022-07,1.0,dark golden
grlsI61NK22,2014-02,Neutered Male,2013-02,Enrolled Deceased,2012-01,,,2021-08,1.0,blonde
grlsJG3L2CMM,2014-01,Spayed Female,2012-10,Inactive,2012-03,,2020-08,,0.0,light golden
