subject_id,enrolled_date,sex_status,spay_neuter_date,study_status,birth_date,withdrawn_date,inactive_date,death_date,is_euthanized,coat_color
grlsLO4BVHRR,2013-02,Spayed Female,2013-02,Enrolled Deceased,2012-07,,,2022-11,0.0,light golden
grlsYLJ61233,2013-03,Neutered Male,2013-11,Enrolled Deceased,2011-03,,,2022-01,1.0,light golden
grls0WMXEHYY,2013-04,Spayed Female,2011-10,Enrolled Deceased,2011-05,,,2021-12,1.0,blonde
grlsOIN3DRHH,2013-03,Neutered Male,2012-01,Enrolled Deceased,2011-01,,,2024-05,1.0,light golden
grlsWYRHCFF,2013-03,Spayed Female,2011-12,Enrolled Deceased,2011-02,,,2023-09,1.0,light golden
grlsV3925T11,2013-04,Neutered Male,2011-10,Enrolled,2011-04,,,,0.0,blonde
grls9XJ8GERR,2013-04,Neutered Male,2011-06,Enrolled Deceased,2011-02,,,2023-08,1.0,light golden
grls31NHC5QQ,2013-04,Neutered Male,2017-06,Enrolled Deceased,2012-07,,,2020-03,0.0,dark golden
grlsW5TR0BRR,2013-03,Spayed Female,2017-04,Enrolled Deceased,2011-07,,,2024-12,1.0,light golden
grlsU5BSABOO,2013-04,Spayed Female,2019-02,Enrolled Deceased,2011-07,,,2023-07,1.0,light golden
grlsGGGVMZEE,2013-03,Spayed Female,2018-10,Enrolled,2012-07,,,,0.0,dark golden
grlsYY4P3MXX,2013-03,Neutered Male,2013-10,Enrolled Deceased,2012-06,,,2023-11,0.0,dark golden
grlsSYI9RTQQ,2013-03,Neutered Male,2013-04,Enrolled Deceased,2012-03,,,2022-03,1.0,medium golden
grlsYCV6JRR,2013-03,Spayed Female,2011-10,Enrolled Deceased,2011-05,,,2018-11,1.0,light golden
grlsBG5S4R99,2013-03,Neutered Male,2013-09,Enrolled Deceased,2011-09,,,2023-06,0.0,blonde
grlsM866LITT,2013-04,Neutered Male,2013-09,Enrolled,2012-09,,,,0.0,light golden
grlsZ7H6S6CC,2013-04,Intact Male,,Enrolled Deceased,2011-06,,,2016-10,1.0,light golden
grlsS8J4DGDD,2013-03,Spayed Female,2013-04,Enrolled Deceased,2012-09,,,2021-04,0.0,medium golden
grlsS7XE7WNN,2013-03,Intact Male,,Enrolled Deceased,2012-05,,,2021-07,0.0,red
grls43OSKSII,2013-03,Neutered Male,2013-02,Enrolled Deceased,2011-10,,,2023-03,1.0,medium golden
grlsXQ3MDDBB,2013-03,Neutered Male,2014-04,Enrolled Deceased,2012-07,,,2019-11,0.0,blonde
grls2Q0TI7EE,2013-04,Spayed Female,2011-12,Inactive,2011-04,,2016-08,,0.0,medium golden
grlsGIKMC9GG,2013-03,Intact Male,,Enrolled Deceased,2011-03,,,2023-09,1.0,red
grlsWBB1HJWW,2013-03,Neutered Male,2022-12,Enrolled,2012-04,,,,0.0,medium golden
grls7259A4YY,2013-04,Intact Male,,Enrolled,2010-09,,,,0.0,medium golden
grlsROVD4P44,2013-03,Spayed Female,2011-12,Enrolled Deceased,2011-05,,,2019-08,0.0,light golden
grlsDGZD63NN,2013-03,Intact Male,,Enrolled Deceased,2012-06,,,2021-04,1.0,blonde
grlsJ1MACZ66,2013-03,Neutered Male,2016-01,Enrolled Deceased,2012-08,,,2023-05,1.0,medium golden
grlsRKK6YFAA,2014-10,Spayed Female,2014-08,Inactive,2012-06,,2016-05,,0.0,medium golden
grlsY9QUTVKK,2013-03,Neutered Male,2012-01,Enrolled Deceased,2011-05,,,2023-10,1.0,light golden
grlsB6NLVIUU,2013-04,Neutered Male,2012-07,Enrolled Deceased,2012-01,,,2023-05,1.0,light golden
grlsKLL9VHDD,2013-04,Neutered Male,2013-08,Enrolled Deceased,2011-02,,,2023-04,1.0,light golden
grls9EM622,2013-03,Neutered Male,2011-12,Enrolled Deceased,2011-05,,,2021-12,1.0,blonde
grlsS6M51JXX,2013-04,Spayed Female,2013-06,Enrolled Deceased,2011-11,,,2018-07,0.0,dark golden
grls2RMKS800,2013-03,Spayed Female,2011-12,Enrolled Deceased,2011-07,,,2020-05,0.0,blonde
grls2850N5JJ,2013-03,Intact Female,,Enrolled Deceased,2012-07,,,2015-06,1.0,blonde
grlsD0U7OQ22,2013-04,Neutered Male,2013-07,Enrolled,2012-01,,,,0.0,light golden
grlsUVNTPONN,2013-03,Spayed Female,2012-01,Enrolled Deceased,2011-06,,,2022-12,1.0,light golden
grlsJ2N1ZM99,2013-04,Neutered Male,2013-08,Inactive,2012-01,,2017-02,,0.0,medium golden
grlsOGRXTRQQ,2013-04,Spayed Female,2012-02,Enrolled Deceased,2011-05,,,2022-03,0.0,light golden
grlsRBB2VHLL,2013-03,Spayed Female,2012-12,Enrolled Deceased,2012-04,,,2024-01,1.0,blonde
grls1MMHW2TT,2013-03,Spayed Female,2013-02,Enrolled Deceased,2011-03,,,2024-11,1.0,light golden
grls1LNR2C22,2013-04,Neutered Male,2014-11,Enrolled,2012-09,,,,0.0,medium golden
grlsUCU6733,2013-04,Spayed Female,2012-09,Enrolled,2012-03,,,,0.0,light golden
grlsFQBW5JWW,2013-03,Spayed Female,2012-05,Enrolled Deceased,2011-04,,,2022-03,1.0,medium golden
grlsTIRJKOII,2013-04,Spayed Female,2012-09,Inactive,2012-01,,2014-01,,0.0,medium golden
grlsXNC5S0DD,2013-04,Spayed Female,2013-04,Enrolled Deceased,2012-10,,,2023-02,1.0,blonde
grlsBHYS3ZEE,2013-04,Intact Male,,Enrolled Deceased,2011-01,,,2024-08,1.0,medium golden
grlsSYDRUX77,2013-04,Spayed Female,2012-12,Enrolled Deceased,2012-02,,,2021-09,0.0,light golden
grls9UA0NX99,2013-04,Spayed Female,2013-07,Enrolled Deceased,2012-03,,,2022-09,0.0,medium golden
grlsO6ZGI6HH,2013-04,Spayed Female,2012-03,Enrolled Deceased,2011-08,,,2020-05,1.0,light golden
grls4IH8IF22,2013-04,Intact Male,,Inactive,2012-03,,2024-03,,0.0,medium golden
grlsN43KG77,2013-04,Spayed Female,2013-04,Enrolled Deceased,2012-09,,,2021-09,1.0,light golden
grls0G7VYQ55,2013-04,Neutered Male,2012-04,Enrolled,2011-08,,,,0.0,medium golden
grlsPYFB000,2013-04,Spayed Female,,Enrolled Deceased,2012-04,,,2023-01,1.0,medium golden
grlsXLFH9I11,2013-04,Spayed Female,2017-08,Enrolled,2012-01,,,,0.0,red
grlsJLU8ABKK,2013-04,Neutered Male,2012-07,Enrolled,2012-01,,,,0.0,light golden
grlsOI9CDW33,2013-04,Neutered Male,2014-08,Enrolled,2011-05,,,,0.0,blonde
grlsFKA8KCJJ,2013-04,Spayed Female,2011-10,Enrolled Deceased,2011-05,,,2020-02,0.0,dark golden
grlsGRLXJ333,2013-04,Neutered Male,2012-11,Enrolled Deceased,2011-05,,,2022-05,1.0,medium golden
grlsUG4P9BOO,2013-04,Spayed Female,2013-03,Enrolled Deceased,2012-08,,,2024-04,1.0,medium golden
grls8ZEO5YOO,2013-04,Neutered Male,2013-01,Enrolled Deceased,2012-02,,,2023-04,0.0,dark golden
grlsISDHJHSS,2013-04,Spayed Female,2011-12,Enrolled Deceased,2011-05,,,2023-01,1.0,medium golden
grlsI0K4H6II,2013-04,Neutered Male,2012-08,Enrolled Deceased,2011-10,,,2025-01,1.0,medium golden
grls23BTJ6WW,2013-04,Spayed Female,2012-04,Inactive,2011-10,,2015-04,,0.0,blonde
grlsBRU738NN,2013-04,Neutered Male,2013-02,Enrolled Deceased,2011-11,,,2022-02,1.0,red
grls3Z6658DD,2013-04,Spayed Female,2012-10,Inactive,2012-04,,2015-02,,0.0,blonde
grlsO5FT0699,2013-03,Neutered Male,2013-07,Enrolled,2012-09,,,,0.0,light golden
grlsTEW2GPP,2013-04,Spayed Female,2013-04,Enrolled,2011-03,,,,0.0,medium golden
grlsPZJQCRNN,2013-04,Spayed Female,2013-02,Inactive,2012-05,,2016-03,,0.0,medium golden
grlsZPQCHFOO,2013-04,Neutered Male,2012-10,Enrolled,2012-03,,,,0.0,light golden
grls4QUZPM44,2013-04,Intact Female,,Inactive,2012-06,,2015-11,,0.0,medium golden
grlsH1F97YLL,2013-04,Intact Male,,Enrolled Deceased,2011-06,,,2021-11,0.0,medium golden
grlsS5MP02HH,2013-04,Spayed Female,2012-09,Enrolled Deceased,2012-02,,,2021-11,1.0,light golden
grlsVQEEXDFF,2013-04,Spayed Female,2021-12,Enrolled,2011-10,,,,0.0,blonde
grlsLS9QDI55,2013-04,Neutered Male,2012-10,Enrolled Deceased,2011-05,,,2022-05,1.0,light golden
grlsN5DLQZ66,2013-04,Neutered Male,2012-10,Enrolled Deceased,2011-05,,,2024-04,0.0,light golden
grls6AN705JJ,2013-04,Intact Male,,Enrolled Deceased,2011-03,,,2022-11,1.0,medium golden
grlsJ6EIUS00,2013-04,Neutered Male,2012-01,Enrolled Deceased,2011-07,,,2020-07,1.0,light golden
grlsIYPAQXX,2013-04,Spayed Female,2012-08,Inactive,2011-08,,2018-10,,0.0,dark golden
grlsQ62IHG88,2013-04,Intact Male,,Enrolled,2011-11,,,,0.0,medium golden
grlsT6VMODPP,2013-04,Neutered Male,2013-01,Enrolled,2012-08,,,,0.0,medium golden
grlsWTUWRVLL,2013-04,Spayed Female,2012-04,Inactive,2011-11,,2014-03,,0.0,blonde
grlsZJD8DKEE,2013-04,Neutered Male,2012-12,Enrolled Deceased,2012-04,,,2018-11,0.0,medium golden
grlsL4OT4R44,2013-04,Intact Male,,Inactive,2011-03,,2024-04,,0.0,light golden
grls4EBRJ3PP,2013-04,Spayed Female,2012-01,Enrolled Deceased,2011-08,,,2023-12,1.0,medium golden
grlsWPVNCOBB,2013-04,Neutered Male,2013-02,Enrolled,2011-11,,,,0.0,medium golden
grls6K12UGYY,2013-04,Spayed Female,2012-04,Enrolled,2011-12,,,,0.0,light golden
grlsOR8W1011,2013-04,Spayed Female,2012-08,Enrolled Deceased,2012-01,,,2024-01,1.0,light golden
grlsKRRYGSSS,2013-04,Spayed Female,2012-02,Enrolled Deceased,2011-08,,,2021-03,0.0,blonde
grlsWILEG4FF,2013-04,Intact Male,,Enrolled Deceased,2012-07,,,2023-03,1.0,medium golden
grls8WD6FNUU,2013-04,Neutered Male,2014-01,Enrolled Deceased,2012-10,,,2024-05,1.0,light golden
grls4V37K977,2013-04,Neutered Male,2013-08,Enrolled Deceased,2011-11,,,2021-03,1.0,light golden
grlsC0EX4933,2013-04,Neutered Male,2011-06,Enrolled Deceased,2010-12,,,2018-10,0.0,light golden
grlsLZCMH0KK,2013-04,Intact Male,,Enrolled Deceased,2012-08,,,2023-04,1.0,red
grlsL9ZRBUTT,2013-04,Spayed Female,2012-03,Inactive,2011-03,,2015-04,,0.0,light golden
grlsPE2IYC88,2013-04,Spayed Female,2012-11,Withdrawn,2011-07,2018-05,,,0.0,light golden
grls5E6I4WMM,2013-04,Neutered Male,2011-11,Enrolled Deceased,2011-01,,,2023-03,0.0,light golden
grlsIUWK80ZZ,2013-04,Spayed Female,2019-02,Enrolled,2012-05,,,,0.0,light golden
grlsKV1Y6SOO,2013-04,Neutered Male,2012-04,Enrolled Deceased,2011-07,,,2021-12,1.0,medium golden
grls3I4TC288,2013-04,Intact Male,,Enrolled,2011-12,,,,0.0,light golden
grlsO45NQLBB,2013-04,Spayed Female,2012-09,Enrolled Deceased,2011-06,,,2021-04,0.0,light golden
grlsV400W4FF,2013-04,Neutered Male,2012-09,Enrolled Deceased,2011-12,,,2018-06,0.0,medium golden
grlsU6KIHA77,2013-04,Spayed Female,2014-02,Enrolled Deceased,2011-04,,,2022-09,1.0,light golden
grls3U64NSUU,2013-04,Spayed Female,2012-09,Enrolled,2012-02,,,,0.0,medium golden
grlsDBV9O699,2013-04,Spayed Female,2011-10,Enrolled Deceased,2011-06,,,2022-08,1.0,dark golden
grlsNE16VP22,2013-04,Neutered Male,2012-12,Enrolled Deceased,2012-03,,,2022-02,0.0,dark golden
grlsJZZZLQ33,2013-04,Spayed Female,2013-04,Enrolled,2012-09,,,,0.0,dark golden
grls4FERT0TT,2013-04,Spayed Female,,Enrolled Deceased,2012-03,,,2022-08,1.0,medium golden
grlsYOCJQU55,2013-04,Spayed Female,2018-10,Enrolled Deceased,2012-06,,,2020-07,1.0,light golden
