subject_id,year_in_study,record_date,substance,PoisonControlLastYear,PoisonControlMoreThanTwice,lifespan
grls91H0ECUU,0,2013-02,mothballs,1,0,12.58590006844627
grls91H0ECUU,5,2018-02,fabric,1,0,12.58590006844627
grls91ZKCAQQ,1,2013-11,unknown,1,0,
grls93YZYLDD,1,2015-05,battery,1,0,
grls94MT90BB,1,2015-06,chocolate,1,0,9.494866529774127
grls94MT90BB,2,2016-06,chocolate,1,0,9.494866529774127
grls95XW2JVV,3,2015-11,chocolate,1,0,
grls97GJL8II,0,2013-06,clothing - sock,1,0,9.412731006160165
grls97GJL8II,1,2014-07,clothing - sock,1,0,9.412731006160165
grls988OLG66,0,2014-04,insect poison,1,0,
grls988OLG66,1,2015-05,insect poison,1,0,
grls9BWN12DD,0,2014-12,wild mushroom - unspecified,1,0,
grls9BWN12DD,1,2015-11,bone,1,0,
grls9HB14OLL,2,2016-10,aluminum,1,0,8.167008898015059
grls9HPESP00,6,2021-03,unknown,1,0,
grls9INU92LL,2,2016-08,polystyrene,1,0,9.084188911704311
grls9RUTVFMM,1,2016-01,medication - a+d ointment,1,0,4.082135523613963
grls9TCORNYY,1,2016-02,chocolate,1,0,7.329226557152635
grls9UBFUUCC,0,2013-09,fertilizer - organic,1,0,
grls9VGH9WKK,1,2015-10,wild mushroom - unspecified,1,1,
grls9VGH9WKK,2,2016-10,wild mushroom - unspecified,1,0,
grlsA3GE0GG,1,2015-03,rodent poison,1,0,12.501026694045175
grlsA7XQVQ,0,2015-01,plastic,1,0,
grlsAGEYKUYY,3,2015-10,medication - aleve,1,0,12.251882272416154
grlsB4GNNEMM,1,2015-03,plastic,1,0,11.249828884325805
grlsB9A55HHH,1,2015-05,medication - zoloft,1,0,
grlsB9A55HHH,2,2016-05,medication - prozac,1,0,
grlsBATASH11,1,2015-06,"fabric, sponge",1,0,
grlsBE43PRMM,2,2016-12,medication - tramadol,1,0,
grlsBE58TRUU,6,2020-02,fertilizer,1,0,11.16769336071184
grlsBF7BE966,1,2016-01,insect poison,1,0,
grlsBH3SNYOO,0,2015-01,pistachio,1,0,10.417522245037645
grlsBH3SNYOO,3,2018-01,"medication - human medication, raisins",1,0,10.417522245037645
grlsBH3SNYOO,5,2019-12,medication - delmopinol,1,0,10.417522245037645
grlsBKB4TUXX,1,2013-12,"medication - overdose on trifexis, medication - tramadol",1,0,13.00205338809035
grlsBKB4TUXX,4,2016-12,chocolate,1,0,13.00205338809035
grlsBLM92T99,0,2014-04,wild mushroom - unspecified,1,0,
grlsBLM92T99,3,2017-04,rodent poison,1,0,
grlsBM4T6E33,4,2017-04,chocolate,1,0,11.832991101984941
grlsBM4T6E33,6,2019-04,chocolate,1,0,11.832991101984941
grlsBP3I7F55,4,2017-05,chocolate,1,0,
grlsBR1ULWSS,2,2015-11,chocolate,1,0,9.749486652977414
grlsBRU738NN,1,2014-01,fertilizer,1,0,10.25325119780972
grlsBTH9EXRR,0,2014-12,chocolate,1,0,
grlsBXN6UF55,4,2018-06,chocolate,1,0,11.16495550992471
grlsC0ENMNN,2,2016-12,dryer sheet,1,0,9.83709787816564
grlsC0ENMNN,3,2017-12,dryer sheet,1,0,9.83709787816564
grlsC0ENMNN,7,2022-03,bat,1,0,9.83709787816564
grlsC1HM6OYY,0,2014-04,tea bag,1,0,
grlsC1HM6OYY,1,2015-06,tea bag,1,0,
grlsC33PECFF,2,2015-04,mole poison,1,0,12.0
grlsC5YM2HWW,1,2014-04,rocks,1,0,8.66255989048597
grlsC5YM2HWW,2,2015-04,rocks,1,0,8.66255989048597
grlsC9B96YUU,3,2017-03,gum - unknown if xylitol,1,0,8.41889117043121
grlsCCG2I3EE,2,2016-11,onion,1,0,
grlsCD3EHDZZ,6,2020-12,raisins,1,0,
grlsCFB5KPYY,7,2020-01,raisins,1,0,
grlsCJGY1Z99,2,2016-11,coffee,1,0,
grlsCOJT3VV,0,2015-01,streptococcus in agar solution,1,0,10.496919917864476
grlsCOJT3VV,1,2016-01,streptococcus in agar solution,1,0,10.496919917864476
grlsCP8RNDBB,0,2013-08,"fruit pit - cherry, medication - cyclosporine",1,0,
grlsCP8RNDBB,1,2014-08,wood - rotted,1,0,
grlsCQFTVALL,0,2014-09,wine,1,0,
grlsCQFTVALL,1,2015-09,wine,1,0,
grlsCSQMX133,4,2016-12,clothing - unspecified,1,1,12.580424366872005
grlsCSQMX133,6,2018-12,clothing - unspecified,1,0,12.580424366872005
grlsCXY7OWNN,0,2014-09,borax,1,0,10.078028747433265
grlsCZC5H66,1,2014-09,onion,1,0,
grlsD1AOQMM,0,2014-04,aluminum,1,0,11.416837782340862
grlsD1AOQMM,1,2015-04,medication - diazepam,1,0,11.416837782340862
grlsD20OVJMM,4,2017-11,fertilizer - organic,1,0,
