subject_id,year_in_study,record_date,state,travel_length_weeks,travel_start_month,regular_work_visits,work_visit_hours,work_visit_days,type,travel_mode,travel_mode_other,country,region_name
grls04O1IQ00,5,2019-10,NV,0,,0,0,0,kennel,Unknown,,US,Mountain
grls04O1IQ00,5,2019-10,NV,1.0,May,0,0,0,kennel,Car,,US,Mountain
grls04O1IQ00,7,2021-10,NV,1,June,0,0,0,,Unknown,,,
grls053MV8EE,0,2014-01,TX,26.0,October,0,0,0,other (possibly kennel),Unknown,,US,South
grls05BPCYNN,3,2016-09,VA,0,,1,24.0,7.0,work,Unknown,,US,South
grls05BPCYNN,3,2016-09,VA,0,,1,24.0,7.0,work,Unknown,,US,South
grls05BPCYNN,6,2019-11,VA,0,,0,0,0,kennel,Unknown,,US,South
grls05BPCYNN,6,2019-11,VA,1.0,June,0,0,0,kennel,Car,,US,South
grls06YF0BSS,3,2016-05,CO,1.0,April,0,0,0,other,Car,,US,Mountain
grls06YF0BSS,3,2016-05,CO,0,,0,0,0,other,Unknown,,US,Mountain
grls06YF0BSS,4,2017-06,CO,0,,0,0,0,kennel,Unknown,,US,Mountain
grls06YF0BSS,4,2017-06,CO,1.0,July,0,0,0,kennel,Car,,US,Mountain
grls06YF0BSS,6,2019-04,CO,0,,0,0,0,kennel,Unknown,,US,Mountain
grls06YF0BSS,6,2019-04,CO,1.0,August,0,0,0,kennel,Car,,US,Mountain
grls09ZIN1OO,0,2015-01,TX,4.0,December,0,0,0,other (possibly kennel),Unknown,,US,South
grls09ZIN1OO,2,2017-01,TX,5.0,May,0,0,0,other (possibly kennel),Unknown,,US,South
grls09ZIN1OO,2,2017-01,TX,5.0,December,0,0,0,other (possibly kennel),Unknown,,US,South
grls09ZIN1OO,2,2017-01,TX,5.0,May,0,0,0,other (possibly kennel),Unknown,,US,South
grls09ZIN1OO,2,2017-01,TX,5.0,December,0,0,0,other (possibly kennel),Unknown,,US,South
grls09ZIN1OO,3,2017-12,TX,3.0,January,0,0,0,other,Car,,US,South
grls09ZIN1OO,3,2017-12,TX,6.0,May,0,0,0,other,Car,,US,South
grls09ZIN1OO,3,2017-12,TX,0,,0,0,0,other,Unknown,,US,South
grls09ZIN1OO,3,2017-12,TX,3.0,January,0,0,0,other,Car,,US,South
grls09ZIN1OO,3,2017-12,TX,6.0,May,0,0,0,other,Car,,US,South
grls09ZIN1OO,3,2017-12,TX,0,,0,0,0,other,Unknown,,US,South
grls09ZIN1OO,3,2017-12,CO,3.0,January,0,0,0,work,Car,,US,Mountain
grls09ZIN1OO,3,2017-12,CO,6.0,May,0,0,0,work,Car,,US,Mountain
grls09ZIN1OO,3,2017-12,CO,0,,0,0,0,work,Unknown,,US,Mountain
grls0B5181FF,3,2017-05,RI,0,,1,8.0,4.0,work,Unknown,,US,Northeast
grls0B5181FF,3,2017-05,RI,0,,1,8.0,4.0,work,Unknown,,US,Northeast
grls0C4FQC88,1,2015-08,WV,1.0,August,0,0,0,other (possibly kennel),Unknown,,US,South
grls0C4FQC88,3,2017-08,WV,0,,0,0,0,kennel,Unknown,,US,South
grls0C4FQC88,3,2017-08,WV,1.0,June,0,0,0,kennel,Car,,US,South
grls0C4FQC88,3,2017-08,WV,1.0,February,0,0,0,kennel,Car,,US,South
grls0C4FQC88,3,2017-08,WV,0,,0,0,0,kennel,Unknown,,US,South
grls0C4FQC88,3,2017-08,WV,1.0,June,0,0,0,kennel,Car,,US,South
grls0C4FQC88,3,2017-08,WV,1.0,February,0,0,0,kennel,Car,,US,South
grls0C4FQC88,4,2018-08,WV,0,,0,0,0,kennel,Unknown,,US,South
grls0C4FQC88,4,2018-08,WV,1.0,October,0,0,0,kennel,Car,,US,South
grls0C4FQC88,5,2019-08,WV,0,,0,0,0,kennel,Unknown,,US,South
grls0C4FQC88,5,2019-08,WV,1.0,February,0,0,0,kennel,Car,,US,South
grls0C4FQC88,6,2020-08,WV,1,June,0,0,0,other,Car,,,
grls0CXB5W99,0,2014-11,MN,8.0,April,0,0,0,other (possibly kennel),Unknown,,US,Midwest
grls0CXB5W99,7,2022-01,CA,1,December,0,0,0,,Unknown,,,
grls0D3MFXFF,1,2015-06,PA,1.0,June,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0D3MFXFF,2,2016-06,PA,1.0,July,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0D3MFXFF,3,2017-06,PA,1.0,December,0,0,0,other,Car,,US,Northeast
grls0D3MFXFF,3,2017-06,PA,1.0,April,0,0,0,other,Car,,US,Northeast
grls0D3MFXFF,3,2017-06,OH,1.0,December,0,0,0,kennel,Car,,US,Midwest
grls0D3MFXFF,3,2017-06,OH,1.0,April,0,0,0,kennel,Car,,US,Midwest
grls0D3MFXFF,4,2018-06,OH,1.0,June,0,0,0,other,Car,,US,Midwest
grls0D3MFXFF,4,2018-06,OH,1.0,June,0,0,0,other,Car,,US,Midwest
grls0D3MFXFF,4,2018-06,OH,1.0,June,0,0,0,kennel,Car,,US,Midwest
grls0D3MFXFF,4,2018-06,OH,1.0,June,0,0,0,kennel,Car,,US,Midwest
grls0D3MFXFF,5,2019-06,OH,0,,0,0,0,kennel,Unknown,,US,Midwest
grls0D3MFXFF,5,2019-06,OH,1.0,June,0,0,0,kennel,Car,,US,Midwest
grls0D3MFXFF,7,2021-06,TN,1,May,0,0,0,,Unknown,,,
grls0D3MFXFF,7,2021-06,PA,1,July,0,0,0,other,Car,,,
grls0D8TYTHH,1,2015-02,AZ,2.0,January,0,0,0,other (possibly kennel),Unknown,,US,Mountain
grls0D8TYTHH,2,2016-02,TX,20.0,April,0,0,0,other (possibly kennel),Unknown,,US,South
grls0ENG5Y66,3,2016-03,CO,0,,0,0,0,kennel,Unknown,,US,Mountain
grls0ENG5Y66,3,2016-03,CO,2.0,April,0,0,0,kennel,Car,,US,Mountain
grls0ENG5Y66,3,2016-03,CO,1.0,February,0,0,0,kennel,Car,,US,Mountain
grls0ENG5Y66,3,2016-03,CO,0,,0,0,0,kennel,Unknown,,US,Mountain
grls0ENG5Y66,3,2016-03,CO,2.0,April,0,0,0,kennel,Car,,US,Mountain
grls0ENG5Y66,3,2016-03,CO,1.0,February,0,0,0,kennel,Car,,US,Mountain
grls0ENG5Y66,4,2017-03,CO,2.0,January,0,0,0,other,Car,,US,Mountain
grls0ENG5Y66,4,2017-03,CO,2.0,January,0,0,0,other,Car,,US,Mountain
grls0ENG5Y66,4,2017-03,CO,2.0,January,0,0,0,kennel,Car,,US,Mountain
grls0ENG5Y66,4,2017-03,CO,2.0,January,0,0,0,kennel,Car,,US,Mountain
grls0ENG5Y66,5,2018-03,CO,0,,0,0,0,kennel,Unknown,,US,Mountain
grls0ENG5Y66,5,2018-03,CO,2.0,January,0,0,0,kennel,Car,,US,Mountain
grls0EZB9OCC,5,2017-08,VA,4.0,February,1,8.0,1.0,other,Car,,US,South
grls0EZB9OCC,5,2017-08,VA,0,,1,8.0,1.0,other,Unknown,,US,South
grls0EZB9OCC,5,2017-08,NC,4.0,February,1,8.0,1.0,work,Car,,US,South
grls0EZB9OCC,5,2017-08,NC,0,,1,8.0,1.0,work,Unknown,,US,South
grls0EZB9OCC,6,2018-09,NC,0,,1,8.0,1.0,kennel,Unknown,,US,South
grls0EZB9OCC,6,2018-09,NC,1.0,October,1,8.0,1.0,kennel,Car,,US,South
grls0EZB9OCC,6,2018-09,NC,0,,1,8.0,1.0,work,Unknown,,US,South
grls0EZB9OCC,6,2018-09,NC,1.0,October,1,8.0,1.0,work,Car,,US,South
grls0EZB9OCC,7,2019-09,VA,0,,0,0,0,kennel,Unknown,,US,South
grls0EZB9OCC,7,2019-09,VA,1.0,July,0,0,0,kennel,Car,,US,South
grls0EZB9OCC,7,2019-09,VA,1.0,September,0,0,0,kennel,Car,,US,South
grls0EZB9OCC,7,2019-09,VA,0,,0,0,0,kennel,Unknown,,US,South
grls0EZB9OCC,7,2019-09,VA,1.0,July,0,0,0,kennel,Car,,US,South
grls0EZB9OCC,7,2019-09,VA,1.0,September,0,0,0,kennel,Car,,US,South
grls0F3UPZPP,2,2016-08,CA,1.0,June,0,0,0,other (possibly kennel),Unknown,,US,Pacific
grls0F3UPZPP,3,2017-08,CA,0,,0,0,0,kennel,Unknown,,US,Pacific
grls0F3UPZPP,3,2017-08,CA,1.0,June,0,0,0,kennel,Car,,US,Pacific
grls0F3UPZPP,4,2018-08,CA,0,,0,0,0,kennel,Unknown,,US,Pacific
grls0F3UPZPP,4,2018-08,CA,1.0,February,0,0,0,kennel,Car,,US,Pacific
grls0F3UPZPP,5,2019-08,CA,0,,0,0,0,kennel,Unknown,,US,Pacific
grls0F3UPZPP,5,2019-08,CA,1.0,June,0,0,0,kennel,Car,,US,Pacific
grls0F3UPZPP,7,2021-09,CA,1,August,0,0,0,other,Car,,,
grls0G7VYQ55,1,2013-12,CO,1.0,September,0,0,0,other (possibly kennel),Unknown,,US,Mountain
grls0G7VYQ55,3,2016-02,CO,0,,0,0,0,kennel,Unknown,,US,Mountain
grls0G7VYQ55,3,2016-02,CO,1.0,June,0,0,0,kennel,Car,,US,Mountain
grls0HAV8G99,1,2015-07,MS,1.0,October,0,0,0,other (possibly kennel),Unknown,,US,South
grls0HAV8G99,3,2017-07,MS,0,,0,0,0,kennel,Unknown,,US,South
grls0HAV8G99,3,2017-07,MS,1.0,December,0,0,0,kennel,Car,,US,South
grls0HAV8G99,4,2018-07,MS,0,,0,0,0,kennel,Unknown,,US,South
grls0HAV8G99,4,2018-07,MS,2.0,May,0,0,0,kennel,Car,,US,South
grls0HAV8G99,5,2019-07,MS,0,,0,0,0,kennel,Unknown,,US,South
grls0HAV8G99,5,2019-07,MS,1.0,July,0,0,0,kennel,Car,,US,South
grls0HAV8G99,5,2019-07,MS,1.0,November,0,0,0,kennel,Car,,US,South
grls0HAV8G99,5,2019-07,MS,1.0,April,0,0,0,kennel,Car,,US,South
grls0HAV8G99,5,2019-07,MS,0,,0,0,0,kennel,Unknown,,US,South
grls0HAV8G99,5,2019-07,MS,1.0,July,0,0,0,kennel,Car,,US,South
grls0HAV8G99,5,2019-07,MS,1.0,November,0,0,0,kennel,Car,,US,South
grls0HAV8G99,5,2019-07,MS,1.0,April,0,0,0,kennel,Car,,US,South
grls0HAV8G99,5,2019-07,MS,0,,0,0,0,kennel,Unknown,,US,South
grls0HAV8G99,5,2019-07,MS,1.0,July,0,0,0,kennel,Car,,US,South
grls0HAV8G99,5,2019-07,MS,1.0,November,0,0,0,kennel,Car,,US,South
grls0HAV8G99,5,2019-07,MS,1.0,April,0,0,0,kennel,Car,,US,South
