subject_id,year_in_study,record_date,spent_most_time_day,indoor_crate_flooring,indoor_carpet_flooring,indoor_hardwood_flooring,indoor_cement_flooring,indoor_tile_flooring,indoor_linoleum_flooring,indoor_laminate_flooring,indoor_furniture_flooring,indoor_other_flooring,indoor_other_flooring_specify,day_outdoor_garage,day_outdoor_kennel,day_outdoor_fenced,day_outdoor_chain_or_lead,day_outdoor_other_percentage,day_outdoor_other_percentage_specify,day_outdoor_total_percentage,furniture_type_wood,furniture_type_leather,furniture_type_upholstered,furniture_type_other,furniture_type_other_specify
grlsKJQXVR88,2,2016-05,Indoors,0,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,0,
grlsKJQXVR88,3,2017-05,Both,0,0,0,0,1,0,1,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,1,1,0,0,
grlsKJQXVR88,4,2018-05,Indoors,0,0,0,0,0,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKJQXVR88,5,2019-06,Indoors,0,0,0,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKJQXVR88,6,2020-04,Indoors,0,0,0,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKK1DGPTT,0,2013-03,Indoors,1,1,1,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKK1DGPTT,1,2014-11,Indoors,0,0,0,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKK91TIOO,0,2014-09,Both,0,0,1,0,1,0,1,0,0,,0.0,0.0,95.0,0.0,5.0,"boat, walks, water - unspecified source",100.0,0,0,0,0,
grlsKK91TIOO,1,2015-11,Indoors,0,0,1,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLCB9Q55,0,2014-04,Indoors,1,1,1,0,0,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLCB9Q55,1,2015-05,Both,1,1,1,0,0,1,0,1,0,,0.0,0.0,85.0,15.0,0.0,,100.0,0,1,0,0,
grlsKLCB9Q55,2,2016-05,Both,1,0,1,0,0,1,0,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,1,0,0,
grlsKLCB9Q55,3,2017-06,Indoors,1,1,1,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,1,bed
grlsKLCB9Q55,4,2018-06,Indoors,0,0,1,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,1,bed
grlsKLCB9Q55,5,2019-06,Indoors,1,0,1,0,0,1,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,1,bed
grlsKLHVOQ00,0,2013-03,Indoors,1,1,0,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLHVOQ00,1,2014-06,Indoors,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLHVOQ00,2,2015-04,Indoors,0,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,1,0,
grlsKLHVOQ00,3,2016-05,Both,0,1,0,0,1,0,0,1,0,,0.0,0.0,5.0,1.0,94.0,inside house,100.0,0,0,1,0,
grlsKLHVOQ00,4,2017-04,Indoors,0,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grlsKLHVOQ00,5,2018-04,Indoors,0,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKLHVOQ00,6,2019-04,Indoors,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLHVOQ00,7,2020-05,Indoors,0,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKLL9VHDD,0,2012-10,Indoors,1,1,0,0,1,1,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLL9VHDD,2,2015-01,Indoors,0,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,0,
grlsKLL9VHDD,3,2015-12,Indoors,1,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,1,0,
grlsKLL9VHDD,5,2017-11,Indoors,1,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKLL9VHDD,6,2019-01,Indoors,1,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grlsKLL9VHDD,7,2019-10,Indoors,1,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grlsKLOJK533,0,2013-10,Indoors,0,1,0,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLOJK533,1,2014-12,Indoors,0,0,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,0,0,
grlsKLOJK533,2,2015-11,Indoors,0,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,0,
grlsKLOJK533,3,2016-11,Indoors,0,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,0,
grlsKLOJK533,4,2017-11,Indoors,0,0,0,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLOJK533,5,2018-11,Indoors,0,1,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,1,0,
grlsKLPG3NQQ,0,2014-02,Indoors,1,0,1,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLPG3NQQ,1,2015-03,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLPG3NQQ,2,2016-03,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLPG3NQQ,3,2017-04,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLPG3NQQ,4,2018-03,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKLPG3NQQ,5,2019-04,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKM12EY11,0,2014-03,Indoors,1,1,1,0,0,1,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKM12EY11,1,2015-05,Indoors,1,1,1,1,1,1,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grlsKM12EY11,2,2016-06,Indoors,0,1,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
